Index,Organization Name,URL,Description
65,Bhangra,https://bu.campuslabs.com/engage/organization/bhangra,"Boston University Bhangra is a competitive, all-inclusive bhangra team, founded in 1999, that is dedicated to raising awareness about South Asian culture both on and off campus through a folk Indian dance form, bhangra."
66,Biology and Business Club,https://bu.campuslabs.com/engage/organization/biobiz,The goal of the Boston University Biobiz club is to provide a community for passionate students to network and explore the nuances of biotech and pharmaceutical companies.
67,Biomedical Engineering Society,https://bu.campuslabs.com/engage/organization/biomedical-engineering-society,"On February 1st, 1968, in Illinois, the Biomedical Engineering Society was created to respond to the growing need for a society in which equal status was given to the fields of biology and engineering. The purpose of the Biomedical Engineering Society..."
68,BIPOC Mental Health Collective,https://bu.campuslabs.com/engage/organization/bipocmhc,BIPOC Mental Health Collective is a communal space for racial minorities to nurture their mental health by sharing experiences and resources.
69,Black Business Student Association,https://bu.campuslabs.com/engage/organization/black-business-student-association,Boston University’s Black Business Student Association (BBSA) is an active resource on campus that bridges the opportunity gap for students of color through professional development and educational programming.
70,BlackBox: Boston University's Black Film Society,https://bu.campuslabs.com/engage/organization/blackbox,"BlackBox provides a place for Black as well as P.O.C filmmakers to come together and create films relevant to their unique experiences, facilitating a sense of community and providing career resources."
71,Blockchain Club,https://bu.campuslabs.com/engage/organization/blockchain-club,"BU Blockchain Club invites all members within the Boston University community to engage themselves within the exciting and emerging market of blockchain, which is growing exceptionally and having more real world applications every single day."
72,Board Games Club,https://bu.campuslabs.com/engage/organization/board-games-club,"Board Games club is a catch-all organization for all your non-digital gaming needs. If it can be played on a table, someone in our club will be happy to play it with you!"
73,Book and Ink Club,https://bu.campuslabs.com/engage/organization/book_and_ink,"A community for readers and writers to meet likeminded individuals, fostering creativity and artistic pursuits related to literature. A space where creators and consumers of writing can come together to support each other and explore storytelling."
74,Boston Political Review,https://bu.campuslabs.com/engage/organization/boston-political-review,The Boston Political Review is a platform for undergrad and grad students to produce non-partisan work covering politics. The review's combination of academic and traditional articles has garnered the attention of thousands of viewers across the globe.
75,Boston University College Republicans,https://bu.campuslabs.com/engage/organization/bucollegerep,"BUCR hosts weekly meetings and events to promote conservative values and the free marketplace of ideas. We invite all Terriers to engage in discussions on current political topics, aiming to foster understanding in today’s polarized climate."
76,Boston University Gliding and Soaring,https://bu.campuslabs.com/engage/organization/bugliding,"The BU Gliding & Soaring Club offers gliding and soaring experiences, aviation events, and training. We offer VR simulators, ground school, and affordable gliding for aviation enthusiasts. Join our community and share a passion for the skies!"
77,Boston University Global Tea Club,https://bu.campuslabs.com/engage/organization/global-tea-club,The organization's main goal is promotion of tea as method to appreciate and gain a deeper understanding of the world's cultural diversity and create a safe space for that to occur.
78,Boston University Journal of History,https://bu.campuslabs.com/engage/organization/bujh,"The Journal of History is an independent, peer-reviewed publication that promotes intellectual curiosity and encourages students to exchange scholarly ideas. We aim to provide an opportunity for undergraduate students to showcase their historical work."
79,Boston University Journalists of Color,https://bu.campuslabs.com/engage/organization/bujoc,"BU JOC will be a student organization focused on career development, advocacy, and mentorship for journalists of color at BU or BU students interested in journalism. We intend on having bi-weekly meetings, special events, and lectures with guest speakers"
